,URLs,Team,Names,Position,Ages,Heights,Weights
66,https://www.unitedrugby.com/clubs/Cardiff-Rugby/James-Ratti,Cardiff-Rugby,James-Ratti,lock,25,6'0'', 120KG
67,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Olly-Robinson,Cardiff-Rugby,Olly-Robinson,flanker,31,6'0'', 104KG
68,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Matthew-Screech,Cardiff-Rugby,Matthew-Screech,lock,30,6'0'', 116KG
69,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Rory-Thornton,Cardiff-Rugby,Rory-Thornton,lock,27,6'1'', 119KG
70,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Brad-Thyer,Cardiff-Rugby,Brad-Thyer,prop,29,5'11'', 114KG
71,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Lopeti-Timani,Cardiff-Rugby,Lopeti-Timani,lock,32,6'0'', 117KG
72,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Josh-Turnbull,Cardiff-Rugby,Josh-Turnbull,lock,34,6'0'', 115KG
73,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Teddy-Williams,Cardiff-Rugby,Teddy-Williams,lock,22,6'1'', 118KG
74,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Thomas-Young,Cardiff-Rugby,Thomas-Young,flanker,30,5'11'', 104KG
75,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Josh-Adams,Cardiff-Rugby,Josh-Adams,wing,27,6'0'', 95KG
76,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Jacob-Beetham,Cardiff-Rugby,Jacob-Beetham,fullback,21,5'11'', 94KG
77,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Ellis-Bevan,Cardiff-Rugby,Ellis-Bevan,scrum-half,22,5'11'', 90KG
78,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Theo-Cabango,Cardiff-Rugby,Theo-Cabango,wing,20,6'0'', 85KG
79,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Jarrod-Evans,Cardiff-Rugby,Jarrod-Evans,fly-half,26,5'11'', 87KG
80,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Mason-Grady,Cardiff-Rugby,Mason-Grady,centre,20,6'0'', 110KG
81,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Uilisi-Halaholo,Cardiff-Rugby,Uilisi-Halaholo,centre,32,5'11'', 101KG
82,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Jason-Harries,Cardiff-Rugby,Jason-Harries,wing,33,6'0'', 107KG
83,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Jamie-Hill,Cardiff-Rugby,Jamie-Hill,scrum-half,23,5'10'', 80KG
84,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Owen-Lane,Cardiff-Rugby,Owen-Lane,wing,24,6'0'', 97KG
85,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Rey-Lee-Lo,Cardiff-Rugby,Rey-Lee-Lo,centre,36,6'0'', 99KG
86,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Max-Llewellyn,Cardiff-Rugby,Max-Llewellyn,centre,23,6'0'', 105KG
87,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Harri-Millard,Cardiff-Rugby,Harri-Millard,centre,26,6'0'', 92KG
88,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Matthew-Morgan,Cardiff-Rugby,Matthew-Morgan,fullback,30,5'1'', 78KG
89,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Rhys-Priestland,Cardiff-Rugby,Rhys-Priestland,fly-half,35,6'0'', 91KG
90,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Aled-Summerhill,Cardiff-Rugby,Aled-Summerhill,wing,27,6'0'', 93KG
91,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Ben-Thomas,Cardiff-Rugby,Ben-Thomas,centre,23,6'0'', 93KG
92,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Liam-Williams,Cardiff-Rugby,Liam-Williams,fullback,31,6'0'', 85KG
93,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Tomos-Williams,Cardiff-Rugby,Tomos-Williams,scrum-half,27,5'11'', 86KG
94,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Lloyd-Williams,Cardiff-Rugby,Lloyd-Williams,scrum-half,32,6'0'', 88KG
95,https://www.unitedrugby.com/clubs/Connacht/Jack-Aungier,Connacht,Jack-Aungier,prop,23,6'0'', 120KG
96,https://www.unitedrugby.com/clubs/Connacht/Finlay-Bealham,Connacht,Finlay-Bealham,prop,31,6'0'', 118KG
97,https://www.unitedrugby.com/clubs/Connacht/Ciaran-Booth,Connacht,Ciaran-Booth,flanker,22,6'0'', 107KG
98,https://www.unitedrugby.com/clubs/Connacht/Paul-Boyle,Connacht,Paul-Boyle,flanker,25,6'0'', 111KG
99,https://www.unitedrugby.com/clubs/Connacht/Denis-Buckley,Connacht,Denis-Buckley,prop,32,5'1'', 108KG
100,https://www.unitedrugby.com/clubs/Connacht/Matthew-Burke,Connacht,Matthew-Burke,prop,25,5'11'', 111KG
101,https://www.unitedrugby.com/clubs/Connacht/Jarrad-Butler,Connacht,Jarrad-Butler,flanker,31,6'0'', 103KG
102,https://www.unitedrugby.com/clubs/Connacht/Shane-Delahunt,Connacht,Shane-Delahunt,hooker,28,6'0'', 111KG
103,https://www.unitedrugby.com/clubs/Connacht/Peter-Dooley,Connacht,Peter-Dooley,prop,28,6'0'', 117KG
104,https://www.unitedrugby.com/clubs/Connacht/Oisin-Dowling,Connacht,Oisin-Dowling,lock,25,6'1'', 111KG
105,https://www.unitedrugby.com/clubs/Connacht/Jordan-Duggan,Connacht,Jordan-Duggan,prop,24,6'0'', 116KG
106,https://www.unitedrugby.com/clubs/Connacht/Leva-Fifita,Connacht,Leva-Fifita,lock,33,6'0'', 116KG
107,https://www.unitedrugby.com/clubs/Connacht/Dave-Heffernan,Connacht,Dave-Heffernan,hooker,31,6'0'', 110KG
108,https://www.unitedrugby.com/clubs/Connacht/Shamus-Hurley-Langton,Connacht,Shamus-Hurley-Langton,flanker,22,6'0'', 106KG
109,https://www.unitedrugby.com/clubs/Connacht/Sam-Illo,Connacht,Sam-Illo,prop,21,6'0'', 121KG
110,https://www.unitedrugby.com/clubs/Connacht/Sean-Masterson,Connacht,Sean-Masterson,flanker,24,6'0'', 111KG
111,https://www.unitedrugby.com/clubs/Connacht/Oisin-McCormack,Connacht,Oisin-McCormack,flanker,21,6'0'', 102KG
112,https://www.unitedrugby.com/clubs/Connacht/Josh-Murphy,Connacht,Josh-Murphy,lock,27,6'0'', 112KG
113,https://www.unitedrugby.com/clubs/Connacht/Niall-Murray,Connacht,Niall-Murray,lock,23,6'1'', 115KG
114,https://www.unitedrugby.com/clubs/Connacht/Conor-Oliver,Connacht,Conor-Oliver,flanker,27,6'0'', 102KG
115,https://www.unitedrugby.com/clubs/Connacht/Cian-Prendergast,Connacht,Cian-Prendergast,flanker,22,6'0'', 112KG
116,https://www.unitedrugby.com/clubs/Connacht/Dominic-Robertson-McCoy,Connacht,Dominic-Robertson-McCoy,prop,28,6'0'', 119KG
117,https://www.unitedrugby.com/clubs/Connacht/Grant-Stewart,Connacht,Grant-Stewart,hooker,27,5'11'', 115KG
118,https://www.unitedrugby.com/clubs/Connacht/Gavin-Thornbury,Connacht,Gavin-Thornbury,lock,29,6'1'', 116KG
119,https://www.unitedrugby.com/clubs/Connacht/Dylan-Tierney-Martin,Connacht,Dylan-Tierney-Martin,hooker,23,6'0'', 101KG
